1	-4	4	-8	-5	-5	3
2	-2	8	-2	-2	2	1
3	5	23	18	8	3	0
4	-1	11	15	-2	-2	1
5	-7	9	26	-11	-7	2
6	-13	6	-10	-22	-11	6
7	-12	20	19	-24	-16	6
8	-38	11	-23	-44	-26	13
9	-69	-24	-29	-50	-22	10
10	-74	-35	-18	-56	-29	9
11	-65	-15	-26	-58	-44	19
12	-71	-27	-12	-60	-50	20
13	-70	-24	3	-61	-51	21
14	-69	-24	5	-60	-51	21
15	-71	-26	-5	-63	-51	23
16	-82	-36	-71	-70	-41	16
17	-80	-42	-50	-69	-40	13
18	-69	-25	-45	-66	-50	22
19	-69	-26	-24	-63	-51	21
20	-70	-28	-36	-65	-51	23
21	-69	-26	-24	-63	-51	22
22	-68	-21	-1	-62	-50	23
23	-72	-20	-1	-54	-34	10
24	-82	-89	-9	-61	-38	10
25	-61	-22	-38	-62	-48	20
26	-62	-25	-22	-60	-48	19
27	-62	-24	-11	-60	-48	20
28	-60	-21	-10	-59	-48	20
29	-62	-18	-12	-60	-47	22
30	-68	-19	-7	-52	-32	10
31	-77	-88	26	-55	-36	8
32	-51	-6	6	-54	-46	16
33	-61	10	34	-46	-46	13
34	-71	-1	4	-59	-51	20
35	-70	-5	8	-61	-56	21
36	-92	-92	17	-80	-86	37
37	-79	-12	-4	-56	-39	12
38	-86	-89	32	-61	-43	10
39	-92	-92	17	-80	-87	32
40	-67	-12	-22	-56	-48	17
41	-65	-13	5	-51	-45	18
42	-61	-13	28	-50	-45	16
43	-63	-12	27	-53	-44	18
44	-71	-19	30	-45	-22	6
45	-85	-89	-20	-62	-34	9
46	-59	-11	25	-52	-42	15
47	-62	-18	38	-52	-42	15
48	-61	-18	42	-52	-41	15
49	-60	-17	40	-51	-42	15
50	-62	-15	38	-53	-41	17
51	-69	-14	0	-49	-23	8
52	-75	-85	55	-49	-26	6
53	-55	-10	36	-49	-39	14
54	-56	-14	67	-46	-38	11
55	-59	-6	12	-50	-39	15
56	-48	10	49	-46	-39	12
57	-86	-89	23	-74	-78	30
58	-59	4	34	-42	-19	6
59	-78	-88	9	-56	-26	7
60	-50	-5	46	-46	-36	12
61	-55	-13	16	-49	-36	13
62	-48	0	-3	-47	-36	14
63	-35	20	41	-38	-37	10
64	-75	-83	137	-63	-74	22
65	-38	20	90	-29	-8	1
66	-61	-82	81	-41	-10	1
67	-35	4	31	-37	-32	11
68	-43	-3	14	-39	-32	12
69	-47	-8	-10	-44	-32	14
70	-41	-3	9	-41	-32	12
71	-49	-4	-28	-49	-34	16
72	-39	4	57	-31	0	3

